,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT
100,1.0,100,15.8,6,0.1,vf,offshore marine shelf,M
101,1.0,101,22.2,49.4,0.1,vf,offshore marine shelf,M
102,1.0,102,16.5,2.3,0.1,vf,offshore marine shelf,M
103,1.0,103,17.8,195,0.2,f,offshore marine shelf,M
104,1.0,104,24,1720,0.2,f,offshore marine shelf,M
105,1.0,105,14.8,2.5,0.1,vf,offshore marine shelf,M
106,1.0,106,,,,,offshore marine shelf,M
107,1.0,107,19.6,10,0.1,vf,offshore marine shelf,M
108,1.0,108,19.5,127,0.1,vf,offshore marine shelf,M
109,1.0,109,21.7,2236,0.2,f,offshore marine shelf,M
110,1.0,110,24.3,1461,0.15,f,offshore marine shelf,M
111,1.0,111,20,917,0.15,f,offshore marine shelf,M
112,1.0,112,27.9,933,0.1,vf,offshore marine shelf,M
113,1.0,113,20,140,0.1,vf,offshore marine shelf,M
