,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,,(%),(md),(mm),categ,,,,,
62,3.0,62.0,25.6,457.0881896148756,,,Distal braided stream/mouth bar,NM,,,
63,3.0,63.0,26.9,354.81338923357566,,,Distal braided stream/mouth bar,NM,,,
64,3.0,64.0,26.9,380.1893963205616,,,Distal braided stream/mouth bar,NM,,,
65,3.0,65.0,27.3,331.13112148259137,,,Distal braided stream/mouth bar,NM,,,
66,3.0,66.0,27.8,371.53522909717265,,,Distal braided stream/mouth bar,NM,,,
67,3.0,67.0,28.1,371.53522909717265,,,Distal braided stream/mouth bar,NM,,,
68,3.0,68.0,28.9,316.22776601683825,,,Distal braided stream/mouth bar,NM,,,
69,3.0,69.0,27.6,446.6835921509633,,,Distal braided stream/mouth bar,NM,,,
70,3.0,70.0,28.2,501.1872336272727,,,Distal braided stream/mouth bar,NM,,,
71,3.0,71.0,29,467.7351412871983,,,Distal braided stream/mouth bar,NM,,,
72,3.0,72.0,29,501.1872336272727,,,Distal braided stream/mouth bar,NM,,,
73,3.0,73.0,30,478.63009232263886,,,Distal braided stream/mouth bar,NM,,,
74,3.0,74.0,26,676.0829753919821,,,Distal braided stream/mouth bar,NM,,,
75,3.0,75.0,26.1,588.8436553555896,,,Distal braided stream/mouth bar,NM,,,
76,3.0,76.0,26,524.8074602497729,,,Distal braided stream/mouth bar,NM,,,
77,3.0,77.0,26.5,630.9573444801932,,,Distal braided stream/mouth bar,NM,,,
78,3.0,78.0,26.6,537.031796370253,,,Distal braided stream/mouth bar,NM,,,
79,3.0,79.0,26.8,501.1872336272727,,,Distal braided stream/mouth bar,NM,,,
80,3.0,80.0,27,794.3282347242821,,,Distal braided stream/mouth bar,NM,,,
81,3.0,81.0,27.6,660.6934480075964,,,Distal braided stream/mouth bar,NM,,,
82,3.0,82.0,27.6,794.3282347242821,,,Distal braided stream/mouth bar,NM,,,
83,3.0,83.0,27.6,891.2509381337466,,,Distal braided stream/mouth bar,NM,,,
84,3.0,84.0,28.9,660.6934480075964,,,Distal braided stream/mouth bar,NM,,,
85,3.0,85.0,27.8,1047.1285480509,,,Distal braided stream/mouth bar,NM,,,
86,3.0,86.0,28.1,1258.925411794168,,,Distal braided stream/mouth bar,NM,,,
87,3.0,87.0,28.5,1047.1285480509,,,Distal braided stream/mouth bar,NM,,,
88,3.0,88.0,28.9,1216.186000646369,,,Distal braided stream/mouth bar,NM,,,
89,3.0,89.0,26,912.0108393559099,,,Distal braided stream/mouth bar,NM,,,
90,3.0,90.0,26.4,977.2372209558114,,,Distal braided stream/mouth bar,NM,,,
91,3.0,91.0,26.7,977.2372209558114,,,Distal braided stream/mouth bar,NM,,,
92,3.0,92.0,27.3,1000,,,Distal braided stream/mouth bar,NM,,,
93,3.0,93.0,26.3,812.8305161640998,,,Distal braided stream/mouth bar,NM,,,
94,3.0,94.0,26.4,1023.2929922807547,,,Distal braided stream/mouth bar,NM,,,
95,3.0,95.0,26.7,1122.0184543019636,,,Distal braided stream/mouth bar,NM,,,
96,3.0,96.0,27,1230.2687708123824,,,Distal braided stream/mouth bar,NM,,,
97,3.0,97.0,27.4,1148.153621496884,,,Distal braided stream/mouth bar,NM,,,
98,3.0,98.0,27.2,1288.2495516931347,,,Distal braided stream/mouth bar,NM,,,
99,3.0,99.0,27.5,1412.5375446227545,,,Distal braided stream/mouth bar,NM,,,
100,3.0,100.0,27.3,1862.0871366628687,,,Distal braided stream/mouth bar,NM,,,
101,3.0,101.0,28.1,1479.1083881682086,,,Distal braided stream/mouth bar,NM,,,
102,3.0,102.0,28.2,1584.8931924611156,,,Distal braided stream/mouth bar,NM,,,
103,3.0,103.0,28,1862.0871366628687,,,Distal braided stream/mouth bar,NM,,,
104,3.0,104.0,29.5,1698.2436524617447,,,Distal braided stream/mouth bar,NM,,,
105,3.0,105.0,25.4,2511.886431509581,,,Distal braided stream/mouth bar,NM,,,
106,3.0,106.0,27.8,2238.7211385683418,,,Distal braided stream/mouth bar,NM,,,
107,3.0,107.0,29.7,5011.872336272732,,,Distal braided stream/mouth bar,NM,,,
108,3.0,108.0,18.3,15.135612484362087,,,Mouth bar/delta front,NM,,,
109,3.0,109.0,18.2,20.4173794466953,,,Mouth bar/delta front,NM,,,
110,3.0,110.0,18.2,33.11311214825913,,,Mouth bar/delta front,NM,,,
111,3.0,111.0,19.9,38.904514499428075,,,Mouth bar/delta front,NM,,,
112,3.0,112.0,20.95,40.7380277804113,,,Mouth bar/delta front,NM,,,
113,3.0,113.0,20.01,53.70317963702529,,,Mouth bar/delta front,NM,,,
114,3.0,114.0,22,50.11872336272724,,,Mouth bar/delta front,NM,,,
115,3.0,115.0,20.8,69.18309709189366,,,Mouth bar/delta front,NM,,,
116,3.0,116.0,21.2,67.60829753919819,,,Mouth bar/delta front,NM,,,
117,3.0,117.0,21.9,61.65950018614826,,,Mouth bar/delta front,NM,,,
118,3.0,118.0,22,64.56542290346559,,,Mouth bar/delta front,NM,,,
119,3.0,119.0,22,89.12509381337456,,,Mouth bar/delta front,NM,,,
120,3.0,120.0,22.8,100,,,Mouth bar/delta front,NM,,,
121,3.0,121.0,21,131.82567385564084,,,Mouth bar/delta front,NM,,,
122,3.0,122.0,21,177.82794100389242,,,Mouth bar/delta front,NM,,,
123,3.0,123.0,22.8,151.3561248436209,,,Mouth bar/delta front,NM,,,
124,3.0,124.0,23.8,199.52623149688802,,,Mouth bar/delta front,NM,,,
125,3.0,125.0,25.9,239.88329190194912,,,Mouth bar/delta front,NM,,,
126,3.0,126.0,23.95,323.59365692962825,,,Mouth bar/delta front,NM,,,
127,3.0,127.0,24.8,309.02954325135937,,,Mouth bar/delta front,NM,,,
128,3.0,128.0,25.05,354.81338923357566,,,Mouth bar/delta front,NM,,,
129,3.0,129.0,25.5,338.8441561392025,,,Mouth bar/delta front,NM,,,
130,3.0,130.0,26,393.55007545577786,,,Mouth bar/delta front,NM,,,
131,3.0,131.0,26.5,446.6835921509633,,,Mouth bar/delta front,NM,,,
132,3.0,132.0,27.8,398.1071705534976,,,Mouth bar/delta front,NM,,,
133,3.0,133.0,25.2,562.3413251903493,,,Mouth bar/delta front,NM,,,
134,3.0,134.0,25.6,537.031796370253,,,Mouth bar/delta front,NM,,,
135,3.0,135.0,26,478.63009232263886,,,Mouth bar/delta front,NM,,,
136,3.0,136.0,26.5,501.1872336272727,,,Mouth bar/delta front,NM,,,
137,3.0,137.0,27,489.77881936844625,,,Mouth bar/delta front,NM,,,
138,3.0,138.0,27.2,524.8074602497729,,,Mouth bar/delta front,NM,,,
139,3.0,139.0,27.95,501.1872336272727,,,Mouth bar/delta front,NM,,,
140,3.0,140.0,24.95,495.4501908047902,,,Mouth bar/delta front,NM,,,
141,3.0,141.0,25.05,436.5158322401662,,,Mouth bar/delta front,NM,,,
142,3.0,142.0,27.1,691.8309709189367,,,Mouth bar/delta front,NM,,,
143,3.0,143.0,16.7,10.232929922807543,,,Delta front,NM,,,
144,3.0,144.0,17.3,10.471285480509,,,Delta front,NM,,,
145,3.0,145.0,16,12.882495516931346,,,Delta front,NM,,,
146,3.0,146.0,17.5,12.58925411794168,,,Delta front,NM,,,
147,3.0,147.0,17.95,12.882495516931346,,,Delta front,NM,,,
148,3.0,148.0,17.6,11.7489755493953,,,Delta front,NM,,,
149,3.0,149.0,17.8,15.135612484362087,,,Delta front,NM,,,
150,3.0,150.0,18,15.848931924611136,,,Delta front,NM,,,
151,3.0,151.0,18.5,16.982436524617448,,,Delta front,NM,,,
152,3.0,152.0,18.5,17.782794100389236,,,Delta front,NM,,,
153,3.0,153.0,18.9,17.17908387157589,,,Delta front,NM,,,
154,3.0,154.0,18.5,19.054607179632477,,,Delta front,NM,,,
155,3.0,155.0,19,19.498445997580465,,,Delta front,NM,,,
