,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,,(%),(md),(mm),categ,,,,,
331,3.0,331.0,21.5,45.70881896148751,,,Distal fluvial and floodplain,NM,,,
332,3.0,332.0,22.1,56.234132519034915,,,Distal fluvial and floodplain,NM,,,
333,3.0,333.0,21,34.67368504525318,,,Distal fluvial and floodplain,NM,,,
334,3.0,334.0,24.1,43.65158322401661,,,Distal fluvial and floodplain,NM,,,
335,3.0,335.0,14,380.1893963205616,,,Distal fluvial and floodplain,NM,,,
336,3.0,336.0,19,281.83829312644554,,,Distal fluvial and floodplain,NM,,,
337,3.0,337.0,16.4,177.82794100389242,,,Distal fluvial and floodplain,NM,,,
338,3.0,338.0,18.5,114.81536214968835,,,Distal fluvial and floodplain,NM,,,
339,3.0,339.0,13.6,39.810717055349755,,,Distal fluvial and floodplain,NM,,,
340,3.0,340.0,15,63.095734448019364,,,Distal fluvial and floodplain,NM,,,
341,3.0,341.0,18,91.20108393559097,,,Distal fluvial and floodplain,NM,,,
342,3.0,342.0,19.1,85.11380382023766,,,Distal fluvial and floodplain,NM,,,
343,3.0,343.0,13.2,15.135612484362087,,,Distal fluvial and floodplain,NM,,,
344,3.0,344.0,16,22.908676527677738,,,Distal fluvial and floodplain,NM,,,
345,3.0,345.0,17.1,40.7380277804113,,,Distal fluvial and floodplain,NM,,,
346,3.0,346.0,19,46.77351412871982,,,Distal fluvial and floodplain,NM,,,
347,3.0,347.0,19.1,63.095734448019364,,,Distal fluvial and floodplain,NM,,,
348,3.0,348.0,16,21.379620895022335,,,Distal fluvial and floodplain,NM,,,
349,3.0,349.0,18.4,15.488166189124817,,,Distal fluvial and floodplain,NM,,,
350,3.0,350.0,19.2,24.547089156850305,,,Distal fluvial and floodplain,NM,,,
351,3.0,351.0,19.8,32.35936569296283,,,Distal fluvial and floodplain,NM,,,
