,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT
0,,,(%),(md),(mm),categ,,
1,29.0,,30.6,860.993752184601,,,Channel - Well 239D,M
2,29.0,,31,1202.2644346174138,,,Channel - Well 239D,M
3,29.0,,30.6,1380.3842646028863,,,Channel - Well 239D,M
4,29.0,,31.45,1445.4397707459289,,,Channel - Well 239D,M
5,29.0,,31.2,269.1534803926918,,,Channel/Lobe Well 327,M
6,29.0,,33,323.59365692962825,,,Channel/Lobe Well 328,M
7,29.0,,32,478.63009232263886,,,Channel/Lobe Well 329,M
8,29.0,,32.5,512.8613839913652,,,Channel/Lobe Well 330,M
9,29.0,,33,758.5775750291838,,,Channel/Lobe Well 331,M
10,29.0,,33,389.04514499428063,,,Channel/Lobe Well 239D,M
11,29.0,,35.3,860.993752184601,,,Channel/Lobe Well 239D,M
12,29.0,,36.7,1380.3842646028863,,,Channel/Lobe Well 239D,M
13,29.0,,28,301.9951720402017,,,Depositional Lobe Well 327,M
14,29.0,,31.7,851.1380382023776,,,Depositional Lobe Well 328,M
15,29.0,,37,1445.4397707459289,,,Depositional Lobe Well 329,M
16,29.0,,34.6,933.254300796992,,,Depositional Lobe Well 239D,M
17,29.0,,31.5,1023.2929922807547,,,Depositional Lobe Well 239D,M
18,29.0,,33.5,1348.962882591654,,,Depositional Lobe Well 239D,M
