,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,GRAINSIZE_ORI
0,,,(%),(md),(mm),categ,,,,categ
1,56.0,,22.5,851.1380382023776,,m,,M,,plus sign -- medium-grained
2,56.0,,20,630.9573444801932,,m,,M,,plus sign -- medium-grained
3,56.0,,18.6,104.71285480508998,,m,,M,,plus sign -- medium-grained
4,56.0,,18.1,107.15193052376065,,m,,M,,plus sign -- medium-grained
5,56.0,,17.9,107.15193052376065,,m,,M,,plus sign -- medium-grained
6,56.0,,18.6,141.25375446227542,,m,,M,,plus sign -- medium-grained
7,56.0,,18.3,158.48931924611153,,m,,M,,plus sign -- medium-grained
8,56.0,,17.2,158.48931924611153,,m,,M,,plus sign -- medium-grained
9,56.0,,16.1,109.6478196143186,,m,,M,,plus sign -- medium-grained
10,56.0,,15.4,112.20184543019634,,m,,M,,plus sign -- medium-grained
11,56.0,,15.2,141.25375446227542,,m,,M,,plus sign -- medium-grained
12,56.0,,15.5,257.03957827688663,,m,,M,,plus sign -- medium-grained
13,56.0,,14.5,213.7962089502234,,m,,M,,plus sign -- medium-grained
14,56.0,,16.4,11.220184543019636,,m,,M,,plus sign -- medium-grained
15,56.0,,16.05,13.182567385564075,,m,,M,,plus sign -- medium-grained
16,56.0,,16.2,28.840315031266066,,m,,M,,plus sign -- medium-grained
17,56.0,,16.1,35.481338923357555,,m,,M,,plus sign -- medium-grained
18,56.0,,15.6,41.68693834703356,,m,,M,,plus sign -- medium-grained
19,56.0,,15.5,44.668359215096324,,m,,M,,plus sign -- medium-grained
20,56.0,,18.8,53.70317963702529,,m,,M,,plus sign -- medium-grained
21,56.0,,17.7,56.234132519034915,,m,,M,,plus sign -- medium-grained
22,56.0,,16.4,63.095734448019364,,m,,M,,plus sign -- medium-grained
23,56.0,,16,64.56542290346559,,m,,M,,plus sign -- medium-grained
