,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,GRAINSIZE_ORI
0,,,(%),(md),(mm),categ,,,,categ
148,58.0,,8.2,0.030199517204020147,,f,,,,open circle -- fine-grained
149,58.0,,8.6,0.01,,f,,,,open circle -- fine-grained
150,58.0,,8.8,0.010232929922807535,,f,,,,open circle -- fine-grained
151,58.0,,9.1,0.030199517204020147,,f,,,,open circle -- fine-grained
152,58.0,,9.4,0.07762471166286913,,f,,,,open circle -- fine-grained
153,58.0,,9.5,0.01,,f,,,,open circle -- fine-grained
154,58.0,,9.9,0.05754399373371569,,f,,,,open circle -- fine-grained
155,58.0,,10,0.01,,f,,,,open circle -- fine-grained
156,58.0,,10.4,0.01,,f,,,,open circle -- fine-grained
157,58.0,,10.5,0.1,,f,,,,open circle -- fine-grained
158,58.0,,11,0.28840315031266056,,f,,,,open circle -- fine-grained
159,58.0,,11.2,0.1,,f,,,,open circle -- fine-grained
160,58.0,,11.3,0.1949844599758045,,f,,,,open circle -- fine-grained
161,58.0,,11.7,0.03981071705534973,,f,,,,open circle -- fine-grained
162,58.0,,11.8,0.12589254117941667,,f,,,,open circle -- fine-grained
163,58.0,,12,0.1,,f,,,,open circle -- fine-grained
164,58.0,,12,0.019952623149688792,,f,,,,open circle -- fine-grained
165,58.0,,12.3,0.01,,f,,,,open circle -- fine-grained
166,58.0,,12.5,0.7413102413009174,,f,,,,open circle -- fine-grained
167,58.0,,12.5,0.1,,f,,,,open circle -- fine-grained
168,58.0,,12.8,0.0489778819368446,,f,,,,open circle -- fine-grained
169,58.0,,12.9,0.32359365692962827,,f,,,,open circle -- fine-grained
170,58.0,,12.9,0.1,,f,,,,open circle -- fine-grained
171,58.0,,12.9,0.07762471166286913,,f,,,,open circle -- fine-grained
172,58.0,,12.9,0.030199517204020147,,f,,,,open circle -- fine-grained
173,58.0,,13.1,0.25703957827688634,,f,,,,open circle -- fine-grained
174,58.0,,13.1,0.1,,f,,,,open circle -- fine-grained
175,58.0,,13.6,0.1,,f,,,,open circle -- fine-grained
176,58.0,,13.6,0.019952623149688792,,f,,,,open circle -- fine-grained
177,58.0,,13.8,0.7943282347242815,,f,,,,open circle -- fine-grained
178,58.0,,14,0.1,,f,,,,open circle -- fine-grained
179,58.0,,14.2,0.32359365692962827,,f,,,,open circle -- fine-grained
180,58.0,,14.4,0.8709635899560806,,f,,,,open circle -- fine-grained
181,58.0,,14.4,0.7943282347242815,,f,,,,open circle -- fine-grained
182,58.0,,14.4,0.1,,f,,,,open circle -- fine-grained
183,58.0,,14.5,0.245470891568503,,f,,,,open circle -- fine-grained
184,58.0,,14.5,0.01,,f,,,,open circle -- fine-grained
185,58.0,,14.7,0.0489778819368446,,f,,,,open circle -- fine-grained
186,58.0,,15.2,0.019952623149688792,,f,,,,open circle -- fine-grained
187,58.0,,15.2,0.07762471166286913,,f,,,,open circle -- fine-grained
188,58.0,,15.5,0.2630267991895382,,f,,,,open circle -- fine-grained
189,58.0,,15.8,0.1,,f,,,,open circle -- fine-grained
190,58.0,,15.8,0.05754399373371569,,f,,,,open circle -- fine-grained
191,58.0,,16,0.8128305161640992,,f,,,,open circle -- fine-grained
