,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT
0,,,(%),(md),(mm),categ,,
1,60.0,,4.45,0.000167880401812256,,,Coastal,T
2,60.0,,5.6,0.0007413102413009174,,,Coastal,T
3,60.0,,5.7,0.0007079457843841379,,,Coastal,T
4,60.0,,5.6,0.0010232929922807542,,,Coastal,T
5,60.0,,6.3,0.0008912509381337455,,,Coastal,T
6,60.0,,6.7,0.001,,,Coastal,T
7,60.0,,6.9,0.0012302687708123817,,,Coastal,T
8,60.0,,6.1,0.0015848931924611136,,,Coastal,T
9,60.0,,6.5,0.0015848931924611136,,,Coastal,T
10,60.0,,7.05,0.001778279410038923,,,Coastal,T
11,60.0,,7.13,0.002213094709605638,,,Coastal,T
12,60.0,,3,0.0006025595860743578,,,Fluvial,NM
13,60.0,,4.5,0.0007762471166286917,,,Fluvial,NM
14,60.0,,5.5,0.0012445146117713852,,,Fluvial,NM
15,60.0,,5.6,0.0014125375446227544,,,Fluvial,NM
16,60.0,,6.05,0.0016982436524617445,,,Fluvial,NM
17,60.0,,7.1,0.0019054607179632475,,,Fluvial,NM
18,60.0,,6.5,0.0025118864315095807,,,Fluvial,NM
19,60.0,,7.8,0.002570395782768864,,,Fluvial,NM
20,60.0,,8.5,0.002344228815319922,,,Fluvial,NM
21,60.0,,4.6,0.005370317963702529,,,Fluvial,NM
22,60.0,,7.7,0.004265795188015927,,,Fluvial,NM
23,60.0,,8.7,0.005011872336272723,,,Fluvial,NM
24,60.0,,8.9,0.0035481338923357554,,,Fluvial,NM
25,60.0,,9.36,0.0030902954325135903,,,Fluvial,NM
26,60.0,,10.8,0.004265795188015927,,,Fluvial,NM
27,60.0,,7.7,0.0006531305526474723,,,Paludal,NM
28,60.0,,7.05,0.0007943282347242815,,,Paludal,NM
29,60.0,,8.05,0.0009772372209558107,,,Paludal,NM
30,60.0,,7.4,0.00162181009735893,,,Paludal,NM
31,60.0,,8.05,0.0015667510701081492,,,Paludal,NM
32,60.0,,8.5,0.0014125375446227544,,,Paludal,NM
33,60.0,,9.85,0.0017378008287493756,,,Paludal,NM
34,60.0,,10.7,0.003630780547701014,,,Paludal,NM
35,60.0,,10.15,0.009120108393559099,,,Paludal,NM
36,60.0,,11.5,0.009120108393559099,,,Paludal,NM
37,60.0,,4.75,0.0010232929922807542,,,Marine,M
38,60.0,,5.2,0.000841395141645195,,,Marine,M
39,60.0,,6,0.0005308844442309883,,,Marine,M
40,60.0,,6.5,0.0006998419960022735,,,Marine,M
41,60.0,,6.6,0.0014791083881682075,,,Marine,M
42,60.0,,7.1,0.0012589254117941673,,,Marine,M
