,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT
63,37.0,,2.3,0.03,,,Non-Dune Origin,NM
64,37.0,,5.9,0.06,,,Dune and Dry Interdune Origin,NM
65,37.0,,5.1,0.08,,,Non-Dune Origin,NM
66,37.0,,5.8,0.04,,,Non-Dune Origin,NM
67,37.0,,7.8,0.17,,,Dune and Dry Interdune Origin,NM
68,37.0,,7.8,0.13,,,Dune and Dry Interdune Origin,NM
69,37.0,,8,0.29,,,Dune and Dry Interdune Origin,NM
70,37.0,,7.8,0.17,,,Dune and Dry Interdune Origin,NM
71,37.0,,12.8,9.9,,,Dune and Dry Interdune Origin,NM
72,37.0,,12.8,5.5,,,Dune and Dry Interdune Origin,NM
73,37.0,,13.3,15,,,Dune and Dry Interdune Origin,NM
74,37.0,,12.1,9.3,,,Dune and Dry Interdune Origin,NM
75,37.0,,12.2,9.6,,,Dune and Dry Interdune Origin,NM
76,37.0,,9.1,0.55,,,Dune and Dry Interdune Origin,NM
77,37.0,,10,0.26,,,Dune and Dry Interdune Origin,NM
78,37.0,,8.7,0.28,,,Dune and Dry Interdune Origin,NM
79,37.0,,5.4,0.13,,,Dune and Dry Interdune Origin,NM
80,37.0,,4.8,0.2,,,Non-Dune Origin,NM
81,37.0,,10.2,0.3,,,Dune and Dry Interdune Origin,NM
82,37.0,,8.6,0.7,,,Dune and Dry Interdune Origin,NM
83,37.0,,8.5,0.14,,,Dune and Dry Interdune Origin,NM
84,37.0,,8.4,0.08,,,Dune and Dry Interdune Origin,NM
85,37.0,,9,0.12,,,Dune and Dry Interdune Origin,NM
86,37.0,,9.5,0.2,,,Dune and Dry Interdune Origin,NM
87,37.0,,8,0.04,,,Dune and Dry Interdune Origin,NM
88,37.0,,8.9,0.16,,,Dune and Dry Interdune Origin,NM
89,37.0,,10,0.16,,,Dune and Dry Interdune Origin,NM
90,37.0,,13.2,4.7,,,Dune and Dry Interdune Origin,NM
91,37.0,,10.4,3.3,,,Dune and Dry Interdune Origin,NM
92,37.0,,9.5,0.31,,,Dune and Dry Interdune Origin,NM
93,37.0,,7.3,0.09,,,Dune and Dry Interdune Origin,NM
94,37.0,,9.7,0.1,,,Dune and Dry Interdune Origin,NM
95,37.0,,7.8,0.32,,,Dune and Dry Interdune Origin,NM
96,37.0,,6.3,0.06,,,Dune and Dry Interdune Origin,NM
97,37.0,,5.5,0.13,,,Dune and Dry Interdune Origin,NM
98,37.0,,4.8,0.03,,,Dune and Dry Interdune Origin,NM
99,37.0,,7.6,0.26,,,Dune and Dry Interdune Origin,NM
100,37.0,,7.3,0.13,,,Dune and Dry Interdune Origin,NM
101,37.0,,8.2,2.9,,,Dune and Dry Interdune Origin,NM
102,37.0,,8.6,4.8,,,Dune and Dry Interdune Origin,NM
103,37.0,,5.7,0.13,,,Dune and Dry Interdune Origin,NM
104,37.0,,5.8,0.44,,,Dune and Dry Interdune Origin,NM
105,37.0,,6.1,0.19,,,Dune and Dry Interdune Origin,NM
106,37.0,,12,7.5,,,Dune and Dry Interdune Origin,NM
107,37.0,,11.1,3.5,,,Dune and Dry Interdune Origin,NM
108,37.0,,10.6,1.4,,,Dune and Dry Interdune Origin,NM
109,37.0,,8.4,1.6,,,Dune and Dry Interdune Origin,NM
110,37.0,,13.7,9.8,,,Dune and Dry Interdune Origin,NM
111,37.0,,9.7,1.9,,,Dune and Dry Interdune Origin,NM
112,37.0,,15.4,13,,,Dune and Dry Interdune Origin,NM
113,37.0,,16.3,30,,,Dune and Dry Interdune Origin,NM
114,37.0,,15.7,60,,,Dune and Dry Interdune Origin,NM
115,37.0,,14.3,77,,,Dune and Dry Interdune Origin,NM
116,37.0,,8.5,3,,,Dune and Dry Interdune Origin,NM
117,37.0,,10.2,2,,,Dune and Dry Interdune Origin,NM
118,37.0,,13.8,6.2,,,Dune and Dry Interdune Origin,NM
119,37.0,,11.8,0.95,,,Dune and Dry Interdune Origin,NM
120,37.0,,10.3,1,,,Dune and Dry Interdune Origin,NM
121,37.0,,15,6.6,,,Dune and Dry Interdune Origin,NM
122,37.0,,15.3,19,,,Dune and Dry Interdune Origin,NM
123,37.0,,14.1,4.9,,,Dune and Dry Interdune Origin,NM
124,37.0,,14.2,8.1,,,Dune and Dry Interdune Origin,NM
125,37.0,,12.7,6.6,,,Dune and Dry Interdune Origin,NM
126,37.0,,11.4,1.4,,,Dune and Dry Interdune Origin,NM
127,37.0,,12,3.5,,,Dune and Dry Interdune Origin,NM
128,37.0,,13.4,16,,,Dune and Dry Interdune Origin,NM
129,37.0,,8.8,2.1,,,Dune and Dry Interdune Origin,NM
130,37.0,,8.9,1.2,,,Dune and Dry Interdune Origin,NM
131,37.0,,7.2,0.31,,,Dune and Dry Interdune Origin,NM
132,37.0,,10.1,2.3,,,Dune and Dry Interdune Origin,NM
133,37.0,,10.7,11,,,Dune and Dry Interdune Origin,NM
134,37.0,,7.9,1.8,,,Dune and Dry Interdune Origin,NM
135,37.0,,13.6,20,,,Dune and Dry Interdune Origin,NM
136,37.0,,6,0.14,,,Dune and Dry Interdune Origin,NM
137,37.0,,10.9,3.1,,,Dune and Dry Interdune Origin,NM
138,37.0,,9.2,0.14,,,Dune and Dry Interdune Origin,NM
139,37.0,,10.7,0.13,,,Dune and Dry Interdune Origin,NM
140,37.0,,12.2,0.58,,,Dune and Dry Interdune Origin,NM
141,37.0,,14.3,12,,,Dune and Dry Interdune Origin,NM
142,37.0,,13.2,0.93,,,Dune and Dry Interdune Origin,NM
143,37.0,,12.7,0.72,,,Dune and Dry Interdune Origin,NM
144,37.0,,12.6,7.9,,,Dune and Dry Interdune Origin,NM
145,37.0,,10,0.76,,,Dune and Dry Interdune Origin,NM
146,37.0,,7.1,0.08,,,Dune and Dry Interdune Origin,NM
147,37.0,,10.4,2.1,,,Dune and Dry Interdune Origin,NM
148,37.0,,12.3,3.3,,,Dune and Dry Interdune Origin,NM
149,37.0,,12.9,20,,,Dune and Dry Interdune Origin,NM
150,37.0,,11.6,1.8,,,Dune and Dry Interdune Origin,NM
151,37.0,,13.1,10,,,Dune and Dry Interdune Origin,NM
152,37.0,,12.8,24,,,Dune and Dry Interdune Origin,NM
153,37.0,,10.5,2.5,,,Dune and Dry Interdune Origin,NM
154,37.0,,8.6,0.19,,,Non-Dune Origin,NM
155,37.0,,10.1,0.69,,,Dune and Dry Interdune Origin,NM
156,37.0,,8.3,0.53,,,Non-Dune Origin,NM
157,37.0,,8.3,0.12,,,Dune and Dry Interdune Origin,NM
158,37.0,,6.6,0.07,,,Non-Dune Origin,NM
159,37.0,,13.2,1.9,,,Dune and Dry Interdune Origin,NM
160,37.0,,12,1.7,,,Dune and Dry Interdune Origin,NM
161,37.0,,15.8,1.5,,,Dune and Dry Interdune Origin,NM
162,37.0,,15.3,2.2,,,Dune and Dry Interdune Origin,NM
163,37.0,,16.9,7.8,,,Dune and Dry Interdune Origin,NM
164,37.0,,15.2,1.9,,,Dune and Dry Interdune Origin,NM
165,37.0,,10.4,0.3,,,Dune and Dry Interdune Origin,NM
166,37.0,,6.3,0.06,,,Non-Dune Origin,NM
167,37.0,,5.9,0.06,,,Non-Dune Origin,NM
168,37.0,,8.6,0.1,,,Non-Dune Origin,NM
169,37.0,,11.1,0.18,,,Non-Dune Origin,NM
170,37.0,,9.5,0.11,,,Dune and Dry Interdune Origin,NM
171,37.0,,14.7,1.7,,,Dune and Dry Interdune Origin,NM
172,37.0,,13.4,1.8,,,Dune and Dry Interdune Origin,NM
173,37.0,,11,1.9,,,Dune and Dry Interdune Origin,NM
174,37.0,,14.6,1.3,,,Dune and Dry Interdune Origin,NM
175,37.0,,15.9,4.3,,,Dune and Dry Interdune Origin,NM
176,37.0,,16,7,,,Dune and Dry Interdune Origin,NM
177,37.0,,15.5,7.1,,,Dune and Dry Interdune Origin,NM
178,37.0,,15.6,6.1,,,Dune and Dry Interdune Origin,NM
179,37.0,,8.5,0.29,,,Dune and Dry Interdune Origin,NM
180,37.0,,7.9,0.13,,,Non-Dune Origin,NM
181,37.0,,11.3,0.27,,,Non-Dune Origin,NM
182,37.0,,13.8,1.1,,,Dune and Dry Interdune Origin,NM
183,37.0,,12.2,0.2,,,Dune and Dry Interdune Origin,NM
184,37.0,,12.3,0.41,,,Dune and Dry Interdune Origin,NM
185,37.0,,11.5,0.58,,,Dune and Dry Interdune Origin,NM
186,37.0,,10.2,0.2,,,Non-Dune Origin,NM
187,37.0,,8.7,0.17,,,Non-Dune Origin,NM
188,37.0,,12.4,0.29,,,Dune and Dry Interdune Origin,NM
189,37.0,,13.3,0.91,,,Dune and Dry Interdune Origin,NM
190,37.0,,13.8,7.3,,,Dune and Dry Interdune Origin,NM
191,37.0,,12.8,1.1,,,Dune and Dry Interdune Origin,NM
192,37.0,,11.5,0.68,,,Dune and Dry Interdune Origin,NM
193,37.0,,13.5,0.62,,,Dune and Dry Interdune Origin,NM
194,37.0,,13.7,0.54,,,Dune and Dry Interdune Origin,NM
195,37.0,,15.6,4.5,,,Dune and Dry Interdune Origin,NM
196,37.0,,15.1,0.93,,,Dune and Dry Interdune Origin,NM
197,37.0,,5.6,0.09,,,Non-Dune Origin,NM
198,37.0,,8.1,0.16,,,Non-Dune Origin,NM
199,37.0,,4.2,0.05,,,Non-Dune Origin,NM
200,37.0,,6,0.04,,,Non-Dune Origin,NM
201,37.0,,8.3,0.08,,,Non-Dune Origin,NM
202,37.0,,5.4,0.05,,,Non-Dune Origin,NM
203,37.0,,5.1,0.04,,,Non-Dune Origin,NM
204,37.0,,4.5,0.02,,,Non-Dune Origin,NM
205,37.0,,5,0.04,,,Non-Dune Origin,NM
206,37.0,,4.6,0.02,,,Non-Dune Origin,NM
207,37.0,,9.7,0.12,,,Non-Dune Origin,NM
208,37.0,,2.9,0.03,,,Non-Dune Origin,NM
209,37.0,,5.7,0.04,,,Non-Dune Origin,NM
210,37.0,,4.5,0.06,,,Non-Dune Origin,NM
211,37.0,,4.6,0.04,,,Non-Dune Origin,NM
212,37.0,,4.9,0.03,,,Non-Dune Origin,NM
213,37.0,,3.2,0.02,,,Non-Dune Origin,NM
214,37.0,,3.6,0.01,,,Non-Dune Origin,NM
215,37.0,,3.9,0.04,,,Non-Dune Origin,NM
216,37.0,,4,0.03,,,Non-Dune Origin,NM
217,37.0,,4,0.03,,,Non-Dune Origin,NM
218,37.0,,3.5,0.03,,,Non-Dune Origin,NM
219,37.0,,4.5,0.03,,,Non-Dune Origin,NM
220,37.0,,5.2,0.05,,,Non-Dune Origin,NM
221,37.0,,5.7,0.07,,,Non-Dune Origin,NM
222,37.0,,6.1,0.04,,,Non-Dune Origin,NM
223,37.0,,6.7,0.05,,,Non-Dune Origin,NM
224,37.0,,5.6,0.1,,,Non-Dune Origin,NM
225,37.0,,9,0.09,,,Non-Dune Origin,NM
226,37.0,,8.4,0.13,,,Non-Dune Origin,NM
227,37.0,,8.4,0.1,,,Non-Dune Origin,NM
228,37.0,,6.2,0.04,,,Non-Dune Origin,NM
229,37.0,,9.4,0.06,,,Non-Dune Origin,NM
230,37.0,,9.8,0.73,,,Non-Dune Origin,NM
231,37.0,,9.1,0.16,,,Non-Dune Origin,NM
232,37.0,,7.8,0.12,,,Non-Dune Origin,NM
233,37.0,,6.7,0.13,,,Non-Dune Origin,NM
234,37.0,,6.8,0.05,,,Non-Dune Origin,NM
235,37.0,,6.3,0.04,,,Non-Dune Origin,NM
236,37.0,,5.3,0.03,,,Non-Dune Origin,NM
237,37.0,,5.6,0.04,,,Non-Dune Origin,NM
238,37.0,,5.8,0.02,,,Non-Dune Origin,NM
239,37.0,,6.3,0.03,,,Non-Dune Origin,NM
240,37.0,,6.6,0.03,,,Non-Dune Origin,NM
241,37.0,,5.3,0.05,,,Non-Dune Origin,NM
242,37.0,,6.2,0.05,,,Non-Dune Origin,NM
243,37.0,,3,0.02,,,Non-Dune Origin,NM
244,37.0,,5.3,0.05,,,Non-Dune Origin,NM
245,37.0,,4.5,0.03,,,Non-Dune Origin,NM
246,37.0,,7.3,0.03,,,Non-Dune Origin,NM
247,37.0,,7.4,0.05,,,Non-Dune Origin,NM
248,37.0,,9.1,0.06,,,Non-Dune Origin,NM
249,37.0,,11.4,0.16,,,Non-Dune Origin,NM
250,37.0,,5.2,0.01,,,Non-Dune Origin,NM
251,37.0,,5.5,0.02,,,Non-Dune Origin,NM
252,37.0,,5.9,0.03,,,Non-Dune Origin,NM
253,37.0,,7.8,0.05,,,Non-Dune Origin,NM
254,37.0,,9.7,0.11,,,Non-Dune Origin,NM
255,37.0,,10.6,0.22,,,Non-Dune Origin,NM
256,37.0,,10.7,0.1,,,Non-Dune Origin,NM
257,37.0,,7.7,0.03,,,Non-Dune Origin,NM
258,37.0,,10.3,0.06,,,Non-Dune Origin,NM
259,37.0,,6.8,0.04,,,Non-Dune Origin,NM
260,37.0,,6.2,0.02,,,Non-Dune Origin,NM
261,37.0,,7.3,0.02,,,Non-Dune Origin,NM
262,37.0,,5.1,0.02,,,Non-Dune Origin,NM
263,37.0,,6.4,0.01,,,Non-Dune Origin,NM
264,37.0,,6.7,0.02,,,Non-Dune Origin,NM
265,37.0,,8.3,0.04,,,Non-Dune Origin,NM
266,37.0,,7.2,0.05,,,Non-Dune Origin,NM
267,37.0,,8,0.06,,,Non-Dune Origin,NM
268,37.0,,9.4,0.06,,,Non-Dune Origin,NM
269,37.0,,7.3,0.04,,,Non-Dune Origin,NM
270,37.0,,7,0.03,,,Non-Dune Origin,NM
271,37.0,,7.8,0.06,,,Non-Dune Origin,NM
272,37.0,,7.1,0.03,,,Non-Dune Origin,NM
273,37.0,,5.9,0.02,,,Non-Dune Origin,NM
274,37.0,,5.3,0.05,,,Non-Dune Origin,NM
275,37.0,,2.5,0.02,,,Non-Dune Origin,NM
276,37.0,,10.5,2.5,,,Non-Dune Origin,NM
277,37.0,,11.2,0.57,,,Non-Dune Origin,NM
278,37.0,,5.9,0.17,,,Non-Dune Origin,NM
279,37.0,,9,1.3,,,Dune and Dry Interdune Origin,NM
280,37.0,,15.5,12,,,Dune and Dry Interdune Origin,NM
281,37.0,,15.5,6.9,,,Dune and Dry Interdune Origin,NM
282,37.0,,13.1,6.4,,,Dune and Dry Interdune Origin,NM
283,37.0,,14.1,13,,,Dune and Dry Interdune Origin,NM
284,37.0,,13.9,4.9,,,Dune and Dry Interdune Origin,NM
285,37.0,,15.7,8.5,,,Dune and Dry Interdune Origin,NM
286,37.0,,10.4,2.1,,,Dune and Dry Interdune Origin,NM
287,37.0,,12.1,4,,,Dune and Dry Interdune Origin,NM
288,37.0,,13.9,11,,,Dune and Dry Interdune Origin,NM
289,37.0,,14.5,18,,,Dune and Dry Interdune Origin,NM
290,37.0,,9.3,1.9,,,Dune and Dry Interdune Origin,NM
291,37.0,,6.9,1,,,Dune and Dry Interdune Origin,NM
292,37.0,,13.6,19,,,Dune and Dry Interdune Origin,NM
293,37.0,,15,103,,,Dune and Dry Interdune Origin,NM
294,37.0,,5.2,0.06,,,Dune and Dry Interdune Origin,NM
295,37.0,,8.1,0.16,,,Dune and Dry Interdune Origin,NM
296,37.0,,7.9,0.09,,,Dune and Dry Interdune Origin,NM
297,37.0,,7.5,0.04,,,Dune and Dry Interdune Origin,NM
298,37.0,,8.8,0.22,,,Dune and Dry Interdune Origin,NM
299,37.0,,9.9,0.18,,,Dune and Dry Interdune Origin,NM
300,37.0,,10,0.89,,,Dune and Dry Interdune Origin,NM
301,37.0,,11.6,1.9,,,Dune and Dry Interdune Origin,NM
302,37.0,,14.5,139,,,Dune and Dry Interdune Origin,NM
303,37.0,,16.4,61,,,Dune and Dry Interdune Origin,NM
304,37.0,,16.8,117,,,Dune and Dry Interdune Origin,NM
305,37.0,,17,175,,,Dune and Dry Interdune Origin,NM
306,37.0,,11,1.8,,,Dune and Dry Interdune Origin,NM
307,37.0,,14.9,115,,,Dune and Dry Interdune Origin,NM
308,37.0,,6.7,1.59,,,Dune and Dry Interdune Origin,NM
309,37.0,,3.9,0.03,,,Dune and Dry Interdune Origin,NM
310,37.0,,6.7,0.08,,,Dune and Dry Interdune Origin,NM
311,37.0,,6.1,0.08,,,Dune and Dry Interdune Origin,NM
312,37.0,,15.1,12,,,Dune and Dry Interdune Origin,NM
313,37.0,,8.6,0.07,,,Dune and Dry Interdune Origin,NM
314,37.0,,10.4,0.19,,,Dune and Dry Interdune Origin,NM
315,37.0,,11.2,0.64,,,Dune and Dry Interdune Origin,NM
316,37.0,,9.5,0.49,,,Dune and Dry Interdune Origin,NM
317,37.0,,10.5,0.58,,,Dune and Dry Interdune Origin,NM
318,37.0,,9.7,0.71,,,Dune and Dry Interdune Origin,NM
319,37.0,,10.4,0.53,,,Dune and Dry Interdune Origin,NM
320,37.0,,10.6,1.1,,,Dune and Dry Interdune Origin,NM
321,37.0,,10.5,1.53,,,Dune and Dry Interdune Origin,NM
322,37.0,,7.5,0.1,,,Dune and Dry Interdune Origin,NM
323,37.0,,7.4,0.89,,,Dune and Dry Interdune Origin,NM
324,37.0,,6,0.08,,,Dune and Dry Interdune Origin,NM
325,37.0,,7.9,0.15,,,Dune and Dry Interdune Origin,NM
326,37.0,,8.3,0.14,,,Dune and Dry Interdune Origin,NM
327,37.0,,11.1,1.3,,,Dune and Dry Interdune Origin,NM
328,37.0,,9.4,3.6,,,Dune and Dry Interdune Origin,NM
329,37.0,,10.9,16,,,Dune and Dry Interdune Origin,NM
330,37.0,,8.1,0.57,,,Dune and Dry Interdune Origin,NM
331,37.0,,7.1,0.22,,,Dune and Dry Interdune Origin,NM
332,37.0,,10.1,0.73,,,Dune and Dry Interdune Origin,NM
333,37.0,,2.3,0.02,,,Dune and Dry Interdune Origin,NM
334,37.0,,8.1,0.14,,,Dune and Dry Interdune Origin,NM
335,37.0,,6.3,0.06,,,Dune and Dry Interdune Origin,NM
336,37.0,,15.4,1.4,,,Dune and Dry Interdune Origin,NM
337,37.0,,16.7,6.2,,,Dune and Dry Interdune Origin,NM
338,37.0,,16.6,8.7,,,Dune and Dry Interdune Origin,NM
339,37.0,,17.2,11,,,Dune and Dry Interdune Origin,NM
340,37.0,,17.2,9.4,,,Dune and Dry Interdune Origin,NM
341,37.0,,14.6,57,,,Dune and Dry Interdune Origin,NM
342,37.0,,16.1,260,,,Dune and Dry Interdune Origin,NM
343,37.0,,11.1,1,,,Dune and Dry Interdune Origin,NM
344,37.0,,15.2,2.6,,,Dune and Dry Interdune Origin,NM
345,37.0,,18.8,18,,,Dune and Dry Interdune Origin,NM
346,37.0,,13.1,2.5,,,Dune and Dry Interdune Origin,NM
347,37.0,,16.7,23,,,Dune and Dry Interdune Origin,NM
348,37.0,,16.9,12,,,Dune and Dry Interdune Origin,NM
349,37.0,,13.7,9.08,,,Dune and Dry Interdune Origin,NM
350,37.0,,14.5,5.9,,,Dune and Dry Interdune Origin,NM
351,37.0,,14.7,0.01,,,Dune and Dry Interdune Origin,NM
352,37.0,,15.2,18,,,Dune and Dry Interdune Origin,NM
353,37.0,,15.2,10,,,Dune and Dry Interdune Origin,NM
354,37.0,,18,160,,,Dune and Dry Interdune Origin,NM
355,37.0,,17.8,451,,,Dune and Dry Interdune Origin,NM
356,37.0,,16.9,701,,,Dune and Dry Interdune Origin,NM
357,37.0,,11.6,32,,,Dune and Dry Interdune Origin,NM
358,37.0,,11.7,0.43,,,Dune and Dry Interdune Origin,NM
359,37.0,,13.7,2.7,,,Dune and Dry Interdune Origin,NM
360,37.0,,13.9,7.9,,,Dune and Dry Interdune Origin,NM
361,37.0,,12.5,5.6,,,Dune and Dry Interdune Origin,NM
362,37.0,,11.7,0.44,,,Dune and Dry Interdune Origin,NM
363,37.0,,14,17,,,Dune and Dry Interdune Origin,NM
364,37.0,,13.7,7,,,Dune and Dry Interdune Origin,NM
365,37.0,,13.8,5.7,,,Dune and Dry Interdune Origin,NM
366,37.0,,13.7,3.2,,,Dune and Dry Interdune Origin,NM
367,37.0,,12.1,4.3,,,Dune and Dry Interdune Origin,NM
368,37.0,,11.3,7.2,,,Dune and Dry Interdune Origin,NM
369,37.0,,6.8,0.16,,,Dune and Dry Interdune Origin,NM
370,37.0,,7.5,0.41,,,Dune and Dry Interdune Origin,NM
371,37.0,,9.2,1,,,Dune and Dry Interdune Origin,NM
372,37.0,,13.5,3.1,,,Dune and Dry Interdune Origin,NM
373,37.0,,12.1,3.1,,,Dune and Dry Interdune Origin,NM
374,37.0,,13.9,1.3,,,Dune and Dry Interdune Origin,NM
375,37.0,,9.9,2.9,,,Dune and Dry Interdune Origin,NM
376,37.0,,11.4,3.5,,,Dune and Dry Interdune Origin,NM
377,37.0,,13.1,5,,,Dune and Dry Interdune Origin,NM
378,37.0,,12.6,2.6,,,Dune and Dry Interdune Origin,NM
379,37.0,,8.9,0.62,,,Dune and Dry Interdune Origin,NM
380,37.0,,14.4,2.9,,,Dune and Dry Interdune Origin,NM
381,37.0,,12.6,0.38,,,Dune and Dry Interdune Origin,NM
382,37.0,,8.8,1.3,,,Dune and Dry Interdune Origin,NM
383,37.0,,6.8,0.15,,,Dune and Dry Interdune Origin,NM
384,37.0,,6,0.11,,,Dune and Dry Interdune Origin,NM
385,37.0,,10.5,0.18,,,Dune and Dry Interdune Origin,NM
386,37.0,,7.5,0.15,,,Dune and Dry Interdune Origin,NM
387,37.0,,7.9,0.12,,,Dune and Dry Interdune Origin,NM
388,37.0,,7.7,0.11,,,Dune and Dry Interdune Origin,NM
389,37.0,,13.4,2.6,,,Dune and Dry Interdune Origin,NM
390,37.0,,15,25,,,Dune and Dry Interdune Origin,NM
391,37.0,,15.8,7.7,,,Dune and Dry Interdune Origin,NM
392,37.0,,13.5,2.9,,,Dune and Dry Interdune Origin,NM
393,37.0,,9.4,0.44,,,Dune and Dry Interdune Origin,NM
394,37.0,,15.7,1.1,,,Dune and Dry Interdune Origin,NM
395,37.0,,18,14,,,Dune and Dry Interdune Origin,NM
396,37.0,,15.2,3.4,,,Dune and Dry Interdune Origin,NM
397,37.0,,10.6,1.1,,,Dune and Dry Interdune Origin,NM
398,37.0,,14.3,1.5,,,Dune and Dry Interdune Origin,NM
399,37.0,,10.1,0.19,,,Dune and Dry Interdune Origin,NM
400,37.0,,10.7,0.11,,,Dune and Dry Interdune Origin,NM
401,37.0,,10.4,0.17,,,Dune and Dry Interdune Origin,NM
402,37.0,,13,0.86,,,Dune and Dry Interdune Origin,NM
403,37.0,,12.6,0.7,,,Dune and Dry Interdune Origin,NM
404,37.0,,10.5,0.09,,,Dune and Dry Interdune Origin,NM
405,37.0,,9.1,0.08,,,Dune and Dry Interdune Origin,NM
406,37.0,,10.1,0.14,,,Dune and Dry Interdune Origin,NM
407,37.0,,10.1,0.51,,,Dune and Dry Interdune Origin,NM
408,37.0,,10,0.12,,,Dune and Dry Interdune Origin,NM
409,37.0,,11.6,0.13,,,Dune and Dry Interdune Origin,NM
410,37.0,,12,0.35,,,Dune and Dry Interdune Origin,NM
411,37.0,,10.7,0.61,,,Dune and Dry Interdune Origin,NM
412,37.0,,12.8,0.37,,,Dune and Dry Interdune Origin,NM
413,37.0,,11.4,0.18,,,Dune and Dry Interdune Origin,NM
414,37.0,,12.9,0.57,,,Dune and Dry Interdune Origin,NM
415,37.0,,13.3,0.75,,,Dune and Dry Interdune Origin,NM
416,37.0,,13.5,0.64,,,Dune and Dry Interdune Origin,NM
417,37.0,,14.6,1,,,Dune and Dry Interdune Origin,NM
418,37.0,,9.9,0.29,,,Dune and Dry Interdune Origin,NM
419,37.0,,9.9,0.1,,,Dune and Dry Interdune Origin,NM
420,37.0,,11.3,0.19,,,Dune and Dry Interdune Origin,NM
421,37.0,,10.8,0.12,,,Dune and Dry Interdune Origin,NM
422,37.0,,10.6,0.15,,,Dune and Dry Interdune Origin,NM
