,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT
0,,,(%),(md),(mm),categ,,
1,37.0,,6.6,0.09,,,Non-Dune Origin,NM
2,37.0,,8.8,0.13,,,Non-Dune Origin,NM
3,37.0,,7.4,0.09,,,Non-Dune Origin,NM
4,37.0,,8.2,1.3,,,Non-Dune Origin,NM
5,37.0,,6.8,0.12,,,Non-Dune Origin,NM
6,37.0,,8.1,0.07,,,Non-Dune Origin,NM
7,37.0,,8.7,0.06,,,Non-Dune Origin,NM
8,37.0,,9,0.08,,,Non-Dune Origin,NM
9,37.0,,8.5,0.07,,,Non-Dune Origin,NM
10,37.0,,10.3,0.04,,,Non-Dune Origin,NM
11,37.0,,8.6,0.05,,,Non-Dune Origin,NM
12,37.0,,7.7,0.05,,,Non-Dune Origin,NM
13,37.0,,7.5,0.06,,,Non-Dune Origin,NM
14,37.0,,6.7,0.05,,,Non-Dune Origin,NM
15,37.0,,5.5,0.04,,,Non-Dune Origin,NM
16,37.0,,7.6,0.07,,,Non-Dune Origin,NM
17,37.0,,7.9,0.05,,,Non-Dune Origin,NM
18,37.0,,5.7,0.02,,,Non-Dune Origin,NM
19,37.0,,6.5,0.02,,,Non-Dune Origin,NM
20,37.0,,7.4,0.04,,,Non-Dune Origin,NM
21,37.0,,8.1,0.06,,,Non-Dune Origin,NM
22,37.0,,9.5,0.09,,,Non-Dune Origin,NM
23,37.0,,9.9,0.12,,,Non-Dune Origin,NM
24,37.0,,10.1,0.1,,,Non-Dune Origin,NM
25,37.0,,6.1,0.03,,,Non-Dune Origin,NM
26,37.0,,5.2,0.03,,,Non-Dune Origin,NM
27,37.0,,4.2,0.06,,,Non-Dune Origin,NM
28,37.0,,4.7,0.02,,,Non-Dune Origin,NM
29,37.0,,7.2,0.04,,,Non-Dune Origin,NM
30,37.0,,6.5,0.05,,,Non-Dune Origin,NM
31,37.0,,6.2,0.06,,,Non-Dune Origin,NM
32,37.0,,5.8,0.04,,,Non-Dune Origin,NM
33,37.0,,7.8,0.06,,,Non-Dune Origin,NM
34,37.0,,9.2,0.08,,,Non-Dune Origin,NM
35,37.0,,10.9,0.16,,,Non-Dune Origin,NM
36,37.0,,11.4,0.19,,,Non-Dune Origin,NM
37,37.0,,11.8,0.16,,,Non-Dune Origin,NM
38,37.0,,8.3,0.07,,,Non-Dune Origin,NM
39,37.0,,9.4,0.05,,,Non-Dune Origin,NM
40,37.0,,6.7,0.05,,,Non-Dune Origin,NM
41,37.0,,9.1,0.29,,,Non-Dune Origin,NM
42,37.0,,8.4,0.11,,,Non-Dune Origin,NM
43,37.0,,6,0.04,,,Non-Dune Origin,NM
44,37.0,,4.8,0.04,,,Non-Dune Origin,NM
45,37.0,,3.9,0.02,,,Non-Dune Origin,NM
46,37.0,,6.2,0.05,,,Dune and Dry Interdune Origin,NM
47,37.0,,11.8,5.4,,,Dune and Dry Interdune Origin,NM
48,37.0,,13.6,20,,,Dune and Dry Interdune Origin,NM
49,37.0,,10.9,1.1,,,Dune and Dry Interdune Origin,NM
50,37.0,,13.3,18,,,Dune and Dry Interdune Origin,NM
51,37.0,,10.7,1.2,,,Dune and Dry Interdune Origin,NM
52,37.0,,9.4,0.75,,,Dune and Dry Interdune Origin,NM
53,37.0,,8.9,1.1,,,Dune and Dry Interdune Origin,NM
54,37.0,,10.6,1.2,,,Dune and Dry Interdune Origin,NM
55,37.0,,7.5,0.17,,,Dune and Dry Interdune Origin,NM
56,37.0,,7.4,0.19,,,Dune and Dry Interdune Origin,NM
57,37.0,,9.2,2.2,,,Dune and Dry Interdune Origin,NM
58,37.0,,7.6,0.84,,,Dune and Dry Interdune Origin,NM
59,37.0,,14.5,11,,,Dune and Dry Interdune Origin,NM
60,37.0,,4.1,3.4,,,Dune and Dry Interdune Origin,NM
61,37.0,,10,2.7,,,Dune and Dry Interdune Origin,NM
62,37.0,,6.4,0.08,,,Dune and Dry Interdune Origin,NM
