,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT
0,,,(%),(md),(mm),categ,,
1,61.0,,6.1,0.19952623149688795,,,,NM
2,61.0,,6.5,0.19952623149688795,,,,NM
3,61.0,,6.8,0.30199517204020154,,,,NM
4,61.0,,6.9,0.19952623149688795,,,,NM
5,61.0,,8.2,0.1513561248436208,,,,NM
6,61.0,,10,0.30199517204020154,,,,NM
7,61.0,,10.6,0.30199517204020154,,,,NM
8,61.0,,11,0.4073802778041127,,,,NM
9,61.0,,11.1,0.6025595860743578,,,,NM
10,61.0,,11.6,0.7079457843841379,,,,NM
11,61.0,,12.2,0.4073802778041127,,,,NM
12,61.0,,12.3,0.6025595860743578,,,,NM
13,61.0,,13.2,0.1513561248436208,,,,NM
14,61.0,,13.2,0.9549925860214359,,,,NM
15,61.0,,13.5,1.5135612484362082,,,,NM
16,61.0,,13.8,1.9952623149688797,,,,NM
17,61.0,,14,0.30199517204020154,,,,NM
18,61.0,,14,1.4125375446227544,,,,NM
19,61.0,,14.1,0.19952623149688795,,,,NM
20,61.0,,14.2,0.30199517204020154,,,,NM
21,61.0,,14.3,1.023292992280754,,,,NM
22,61.0,,14.4,0.3548133892335754,,,,NM
23,61.0,,14.5,0.4073802778041127,,,,NM
24,61.0,,14.5,1.4125375446227544,,,,NM
25,61.0,,14.7,0.19952623149688795,,,,NM
26,61.0,,15,0.5011872336272722,,,,NM
27,61.0,,15,0.6309573444801932,,,,NM
28,61.0,,15,0.7585775750291837,,,,NM
29,61.0,,15,1.380384264602885,,,,NM
30,61.0,,15.2,0.30199517204020154,,,,NM
31,61.0,,15.2,1.2589254117941673,,,,NM
32,61.0,,15.7,0.5011872336272722,,,,NM
33,61.0,,15.7,5.011872336272723,,,,NM
34,61.0,,15.8,0.4073802778041127,,,,NM
35,61.0,,15.8,1.1220184543019636,,,,NM
36,61.0,,16,2.630267991895382,,,,NM
37,61.0,,16.1,0.30199517204020154,,,,NM
38,61.0,,16.1,0.4073802778041127,,,,NM
39,61.0,,16.2,2.2387211385683394,,,,NM
40,61.0,,16.2,3.630780547701014,,,,NM
41,61.0,,16.3,0.9549925860214359,,,,NM
42,61.0,,16.4,0.8912509381337455,,,,NM
43,61.0,,16.5,4.786300923226384,,,,NM
44,61.0,,16.7,0.5011872336272722,,,,NM
45,61.0,,16.8,0.4073802778041127,,,,NM
46,61.0,,16.8,3.8904514499428067,,,,NM
47,61.0,,16.9,2.0417379446695296,,,,NM
48,61.0,,17,1,,,,NM
49,61.0,,17,5.754399373371571,,,,NM
50,61.0,,17.2,0.19952623149688795,,,,NM
51,61.0,,17.2,0.30199517204020154,,,,NM
52,61.0,,17.3,0.9120108393559097,,,,NM
53,61.0,,17.4,0.6165950018614822,,,,NM
54,61.0,,17.4,3.9810717055349727,,,,NM
55,61.0,,17.5,1.9952623149688797,,,,NM
56,61.0,,17.5,3.3884415613920265,,,,NM
57,61.0,,17.7,0.5011872336272722,,,,NM
58,61.0,,17.8,0.19952623149688795,,,,NM
59,61.0,,17.8,0.7943282347242815,,,,NM
60,61.0,,17.9,2.818382931264454,,,,NM
61,61.0,,18,0.6025595860743578,,,,NM
62,61.0,,18,1.778279410038923,,,,NM
63,61.0,,18.1,0.4073802778041127,,,,NM
64,61.0,,18.1,1.0471285480508996,,,,NM
65,61.0,,18.2,0.7079457843841379,,,,NM
66,61.0,,18.2,4.786300923226384,,,,NM
67,61.0,,18.2,7.5857757502918375,,,,NM
68,61.0,,18.2,9.33254300796991,,,,NM
69,61.0,,18.3,1.9952623149688797,,,,NM
70,61.0,,18.3,3.9810717055349727,,,,NM
71,61.0,,18.4,3.3113112148259116,,,,NM
72,61.0,,18.5,0.8912509381337455,,,,NM
73,61.0,,18.6,1.2302687708123816,,,,NM
74,61.0,,18.6,1.4125375446227544,,,,NM
75,61.0,,18.7,10.964781961431854,,,,NM
76,61.0,,18.8,1,,,,NM
77,61.0,,18.8,1.778279410038923,,,,NM
78,61.0,,18.9,0.7079457843841379,,,,NM
79,61.0,,18.9,1.202264434617413,,,,NM
