,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT
0,,,(%),(md),(mm),categ,,
1,49.0,,2,0.07079457843841379,,,fluvial,NM
2,49.0,,3,0.051286138399136455,,,fluvial,NM
3,49.0,,5.9,0.08912509381337454,,,fluvial,NM
4,49.0,,5.8,0.11220184543019632,,,fluvial,NM
5,49.0,,6.05,0.5011872336272722,,,fluvial,NM
6,49.0,,8,0.6760829753919818,,,fluvial,NM
7,49.0,,9.7,0.8128305161640992,,,fluvial,NM
8,49.0,,7.7,40.7380277804113,,,fluvial,NM
9,49.0,,11,0.5623413251903491,,,fluvial,NM
10,49.0,,11.3,0.7079457843841379,,,fluvial,NM
11,49.0,,11.1,1.5848931924611136,,,fluvial,NM
12,49.0,,11.4,1.1220184543019636,,,fluvial,NM
13,49.0,,14.7,1.778279410038923,,,fluvial,NM
14,49.0,,10.4,2.5118864315095806,,,fluvial,NM
15,49.0,,11.4,2.884031503126606,,,fluvial,NM
16,49.0,,12,3.8904514499428067,,,fluvial,NM
17,49.0,,13.1,3.2359365692962836,,,fluvial,NM
18,49.0,,11,5.248074602497726,,,fluvial,NM
19,49.0,,11.2,6.309573444801934,,,fluvial,NM
20,49.0,,12.2,5.248074602497726,,,fluvial,NM
21,49.0,,12.4,4.466835921509632,,,fluvial,NM
22,49.0,,12.85,4.466835921509632,,,fluvial,NM
23,49.0,,14.8,7.4131024130091765,,,fluvial,NM
24,49.0,,10.2,10,,,fluvial,NM
25,49.0,,10.9,15.488166189124817,,,fluvial,NM
26,49.0,,11.05,23.442288153199236,,,fluvial,NM
27,49.0,,12,19.498445997580465,,,fluvial,NM
28,49.0,,13.3,16.218100973589298,,,fluvial,NM
29,49.0,,13.9,25.1188643150958,,,fluvial,NM
30,49.0,,13.9,39.810717055349755,,,fluvial,NM
31,49.0,,13.7,44.668359215096324,,,fluvial,NM
32,49.0,,13.5,52.480746024977286,,,fluvial,NM
33,49.0,,13.1,89.12509381337456,,,fluvial,NM
34,49.0,,15.6,44.668359215096324,,,fluvial,NM
35,49.0,,15.2,79.4328234724282,,,fluvial,NM
36,49.0,,13.8,141.25375446227542,,,fluvial,NM
37,49.0,,13.95,162.18100973589304,,,fluvial,NM
38,49.0,,14.15,186.20871366628685,,,fluvial,NM
39,49.0,,2.1,0.050118723362727206,,,fluvial,NM
40,49.0,,6,0.06760829753919818,,,fluvial,NM
