,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT,Unnamed: 8,GRAINSIZE_ORI
0,,,(%),(md),(mm),categ,,,,categ
1,2.0,1.0,11,0.4,,vf,Mudflat and wet Sandflat,NM,,vfU
2,2.0,2.0,11,0.2,,vf,Mudflat and wet Sandflat,NM,,vfL
3,2.0,3.0,6.4,0.06,,vf,Mudflat and wet Sandflat,NM,,vfL
4,2.0,4.0,12.1,6,,f,Alluvial/Fluvial,NM,,fL
5,2.0,5.0,10.4,0.06,,vf,Mudflat and wet Sandflat,NM,,vfL
6,2.0,6.0,15.2,5.4,,Vf,Mudflat and wet Sandflat,NM,,VfU
7,2.0,7.0,1.5,0.06,,vf,Mudflat and wet Sandflat,NM,,vfL
8,2.0,8.0,12.1,0.5,,vf,Mudflat and wet Sandflat,NM,,vfL
9,2.0,9.0,11.4,0.3,,vf,Mudflat and wet Sandflat,NM,,vfL
10,2.0,10.0,,,,vf,Alluvial/Fluvial,NM,,vfU
11,2.0,11.0,1.8,81,,m,Alluvial/Fluvial,NM,,mL
12,2.0,12.0,1.3,,,m,Alluvial/Fluvial,NM,,mU
13,2.0,13.0,1.5,46,,m,Alluvial/Fluvial,NM,,mU
14,2.0,14.0,1.3,0,,m,Alluvial/Fluvial,NM,,mU
15,2.0,15.0,12,6.8,,m,Dune and dry Sandflat,NM,,mU
16,2.0,16.0,26,1134,,m,Dune and dry Sandflat,NM,,mL
17,2.0,17.0,16,13,,m,Dune and dry Sandflat,NM,,mL
18,2.0,18.0,17,0.8,,f,Damp Sandflatp,NM,,fL
19,2.0,19.0,17,0.6,,f,Dune and dry Sandflat,NM,,fL
20,2.0,20.0,26,4.3,,f,Damp Sandflatp,NM,,fL
21,2.0,21.0,11,1.3,,vf,Damp Sandflatp,NM,,vfU
22,2.0,22.0,20,1.6,,f,Dune and dry Sandflat,NM,,fL
23,2.0,23.0,28,10.2,,f,Damp Sandflatp,NM,,fU
24,2.0,24.0,12,0.5,,f,Damp Sandflatp,NM,,fL
25,2.0,25.0,17,1.8,,f,Dune and dry Sandflat,NM,,fU
26,2.0,26.0,26,67,,f,Mudflat and wet Sandflat,NM,,fL
27,2.0,27.0,5,0.3,,vf,Mudflat and wet Sandflat,NM,,vfU
28,2.0,28.0,17,2.7,,m,Dune and dry Sandflat,NM,,mL
29,2.0,29.0,5,0.8,,f,Damp Sandflatp,NM,,fU
30,2.0,30.0,14,12.9,,f,Alluvial/Fluvial,NM,,fU
31,2.0,31.0,6.6,1.1,,,Mudflat and wet Sandflat,NM,,M
32,2.0,32.0,11.6,7.3,,vf,Alluvial/Fluvial,NM,,vfU
33,2.0,33.0,13.7,151.8,,f,Alluvial/Fluvial,NM,,fU
34,2.0,34.0,5.5,1.1,,f,Mudflat and wet Sandflat,NM,,fL
35,2.0,35.0,6.4,0.1,,f,Mudflat and wet Sandflat,NM,,fL
36,2.0,36.0,6.9,0.02,,vf,Alluvial/Fluvial,NM,,vfL
37,2.0,37.0,15.8,15.2,,f,Damp Sandflatp,NM,,fL
38,2.0,38.0,12.3,8.9,,f,Dune and dry Sandflat,NM,,fL
39,2.0,39.0,15.8,82.7,,f,Dune and dry Sandflat,NM,,fU
40,2.0,40.0,22.4,1974,,m,Dune and dry Sandflat,NM,,mL
41,2.0,41.0,21.6,,,f,Dune and dry Sandflat,NM,,fU
42,2.0,42.0,16.7,211.2,,m,Dune and dry Sandflat,NM,,mL
43,2.0,43.0,19.8,129.2,,f,Damp Sandflatp,NM,,fL
44,2.0,44.0,13.8,8.4,,f,Dune and dry Sandflat,NM,,fU
45,2.0,45.0,15.6,12.8,,f,Dune and dry Sandflat,NM,,fU
46,2.0,46.0,21.5,169,,f,Dune and dry Sandflat,NM,,fU
47,2.0,47.0,10.1,1.4,,m,Alluvial/Fluvial,NM,,mL
48,2.0,48.0,22.1,9.3,,f,Dune and dry Sandflat,NM,,fU
