,DATASET,ID,PORO,PERM,GRAINSIZE,GRAINSIZE.1,EOD,EOD_NMT
0,,,(%),(md),(mm),categ,,
1,66.0,,7,0.10715193052376064,,,interdune,NM
2,66.0,,7.5,0.10715193052376064,,,interdune,NM
3,66.0,,8,0.10715193052376064,,,interdune,NM
4,66.0,,8.3,0.10715193052376064,,,interdune,NM
5,66.0,,9.2,0.10715193052376064,,,interdune,NM
6,66.0,,10.5,0.10715193052376064,,,interdune,NM
7,66.0,,10.7,0.10715193052376064,,,interdune,NM
8,66.0,,11.1,0.15848931924611132,,,interdune,NM
9,66.0,,11.5,0.15848931924611132,,,interdune,NM
10,66.0,,6.6,0.2041737944669529,,,interdune,NM
11,66.0,,8.8,0.2041737944669529,,,interdune,NM
12,66.0,,10,0.2041737944669529,,,interdune,NM
13,66.0,,10.5,0.2041737944669529,,,interdune,NM
14,66.0,,11.1,0.2041737944669529,,,interdune,NM
15,66.0,,11.6,0.2041737944669529,,,interdune,NM
16,66.0,,12,0.2041737944669529,,,interdune,NM
17,66.0,,8,0.251188643150958,,,interdune,NM
18,66.0,,9,0.251188643150958,,,interdune,NM
19,66.0,,9.6,0.251188643150958,,,interdune,NM
20,66.0,,8.1,0.30902954325135895,,,interdune,NM
21,66.0,,9.6,0.31622776601683794,,,interdune,NM
22,66.0,,4.9,0.5128613839913648,,,interdune,NM
23,66.0,,6.5,0.7943282347242815,,,interdune,NM
24,66.0,,6.2,1.023292992280754,,,interdune,NM
25,66.0,,7.9,1.288249551693134,,,interdune,NM
26,66.0,,9.1,1.5848931924611136,,,interdune,NM
27,66.0,,9.8,1.62181009735893,,,interdune,NM
28,66.0,,9.8,1.778279410038923,,,interdune,NM
29,66.0,,9,1.9952623149688797,,,interdune,NM
30,66.0,,7.6,1.9952623149688797,,,interdune,NM
31,66.0,,11.2,1.380384264602885,,,interdune,NM
32,66.0,,10.5,1.5135612484362082,,,interdune,NM
33,66.0,,10.2,2.0892961308540396,,,interdune,NM
34,66.0,,12.2,0.3981071705534972,,,interdune,NM
35,66.0,,12.9,0.3981071705534972,,,interdune,NM
36,66.0,,13.2,0.4677351412871982,,,interdune,NM
37,66.0,,13.8,0.3981071705534972,,,interdune,NM
38,66.0,,11.6,0.5128613839913648,,,interdune,NM
39,66.0,,12.1,0.5011872336272722,,,interdune,NM
40,66.0,,12.5,0.5011872336272722,,,interdune,NM
41,66.0,,13.2,0.6309573444801932,,,interdune,NM
42,66.0,,13.2,0.5623413251903491,,,interdune,NM
43,66.0,,13.9,0.6309573444801932,,,interdune,NM
44,66.0,,12.7,0.7079457843841379,,,interdune,NM
45,66.0,,13,0.7079457843841379,,,interdune,NM
46,66.0,,12.05,0.7943282347242815,,,interdune,NM
47,66.0,,12.85,0.7943282347242815,,,interdune,NM
48,66.0,,2.3,0.10232929922807538,,,dune,NM
49,66.0,,3.3,0.20892961308540392,,,dune,NM
50,66.0,,5.15,0.10715193052376064,,,dune,NM
51,66.0,,5.5,0.11220184543019632,,,dune,NM
